gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,total_services,has_any_security,has_any_backup,is_long_term,avg_monthly_charges,charges_per_service,paperless_electronic,tenure_monthly_interaction
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0,2,0,1,0,14.925,9.950000000000001,1,29.85
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,2,4,1,1,1,53.98571428571429,11.39,0,1936.3000000000002
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,1,0,4,1,1,0,36.050000000000004,10.77,0,107.7
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0,2,4,1,1,1,40.016304347826086,8.459999999999999,0,1903.4999999999998
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,0,2,0,0,0,50.550000000000004,23.566666666666666,1,141.4
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,1,0,6,0,1,0,91.16666666666667,14.235714285714286,1,797.2
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0,1,5,0,1,0,84.75652173913043,14.85,0,1960.1999999999998
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0,0,2,1,0,0,27.44545454545454,9.916666666666666,0,297.5
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,1,2,7,1,1,0,105.03620689655173,13.1,1,2934.4
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0,3,4,1,1,1,55.364285714285714,11.23,0,3481.2999999999997
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0,1,3,1,0,0,41.96071428571429,12.4875,0,649.35
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0,1,1,0,0,1,19.223529411764705,9.475,0,303.2
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0,3,6,0,1,1,96.28983050847458,14.335714285714285,0,5820.299999999999
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,1,3,7,0,1,0,100.726,12.9625,0,5081.3
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0,2,7,1,1,0,103.3096153846154,13.1875,1,2637.5
